second,Volt1,Volt2,Volt3,Volt4
-0.00498624,0.055499496,6.12E-02,4.49E-02,3.00E-02
-0.00498608,0.057509546,6.12E-02,4.29E-02,3.20E-02
-0.00498592,0.057509546,6.12E-02,4.49E-02,3.00E-02
-0.00498576,0.055499496,6.12E-02,4.49E-02,3.00E-02
-0.0049856,0.055499496,6.12E-02,4.49E-02,2.80E-02
-0.00498544,0.055499496,6.12E-02,4.49E-02,3.00E-02
-0.00498528,0.055499496,6.32E-02,4.49E-02,3.00E-02
-0.00498512,0.055499496,6.12E-02,4.69E-02,3.00E-02
-0.00498496,0.057509546,6.12E-02,4.49E-02,3.00E-02
-0.0049848,0.055499496,6.12E-02,4.49E-02,3.00E-02
-0.00498464,0.057509546,6.12E-02,4.49E-02,3.00E-02
-0.00498448,0.055499496,6.12E-02,4.49E-02,3.00E-02
-0.00498432,0.055499496,6.12E-02,4.49E-02,3.00E-02
-0.00498416,0.055499496,6.32E-02,4.49E-02,3.00E-02
-0.004984,0.057509546,6.12E-02,4.49E-02,3.00E-02
-0.00498384,0.055499496,6.12E-02,4.49E-02,3.00E-02
-0.00498368,0.055499496,6.12E-02,4.49E-02,3.00E-02
-0.00498352,0.055499496,6.12E-02,4.49E-02,3.00E-02
-0.00498336,0.057509546,5.92E-02,4.29E-02,3.00E-02
-0.0049832,0.055499496,6.32E-02,4.49E-02,3.00E-02
-0.00498304,0.055499496,6.12E-02,4.49E-02,3.00E-02
-0.00498288,0.055499496,6.12E-02,4.49E-02,2.59E-02
-0.00498272,0.055499496,6.12E-02,4.49E-02,2.80E-02
-0.00498256,0.055499496,6.12E-02,4.49E-02,2.80E-02
-0.0049824,0.055499496,5.92E-02,4.49E-02,3.00E-02
-0.00498224,0.055499496,6.12E-02,4.29E-02,3.00E-02
-0.00498208,0.053489446,6.12E-02,4.49E-02,2.80E-02
-0.00498192,0.055499496,6.12E-02,4.49E-02,3.00E-02
-0.00498176,0.055499496,6.12E-02,4.29E-02,3.00E-02
-0.0049816,0.055499496,6.12E-02,4.29E-02,3.00E-02
-0.00498144,0.055499496,6.12E-02,4.29E-02,3.00E-02
-0.00498128,0.055499496,6.12E-02,4.29E-02,3.00E-02
-0.00498112,0.055499496,6.12E-02,4.49E-02,3.00E-02
-0.00498096,0.055499496,6.12E-02,4.49E-02,3.00E-02
-0.0049808,0.055499496,5.92E-02,4.29E-02,2.80E-02
-0.00498064,0.055499496,6.12E-02,4.49E-02,3.00E-02
-0.00498048,0.055499496,6.12E-02,4.29E-02,2.80E-02
-0.00498032,0.055499496,6.12E-02,4.29E-02,2.80E-02
-0.00498016,0.055499496,6.12E-02,4.29E-02,3.00E-02
-0.00498,0.055499496,6.12E-02,4.29E-02,2.80E-02
-0.00497984,0.053489446,6.12E-02,4.49E-02,3.00E-02
-0.00497968,0.055499496,6.12E-02,4.29E-02,3.00E-02
-0.00497952,0.055499496,6.12E-02,4.29E-02,3.00E-02
-0.00497936,0.055499496,6.32E-02,4.29E-02,2.80E-02
-0.0049792,0.055499496,6.12E-02,4.29E-02,2.80E-02
-0.00497904,0.055499496,6.12E-02,4.29E-02,3.00E-02
-0.00497888,0.055499496,5.92E-02,4.29E-02,2.80E-02
-0.00497872,0.053489446,6.12E-02,4.29E-02,3.00E-02
-0.00497856,0.055499496,6.12E-02,4.29E-02,3.00E-02
-0.0049784,0.055499496,6.12E-02,4.29E-02,2.80E-02
-0.00497824,0.053489446,6.12E-02,4.29E-02,2.80E-02
-0.00497808,0.055499496,5.92E-02,4.29E-02,2.80E-02
-0.00497792,0.055499496,6.12E-02,4.09E-02,2.80E-02
-0.00497776,0.055499496,5.92E-02,4.09E-02,3.00E-02
-0.0049776,0.055499496,5.92E-02,4.29E-02,2.80E-02
-0.00497744,0.055499496,6.12E-02,4.29E-02,3.00E-02
-0.00497728,0.053489446,6.12E-02,4.29E-02,2.80E-02
-0.00497712,0.053489446,5.92E-02,4.29E-02,3.00E-02
-0.00497696,0.055499496,6.12E-02,4.29E-02,2.80E-02
-0.0049768,0.055499496,6.12E-02,4.29E-02,2.80E-02
-0.00497664,0.055499496,5.92E-02,4.09E-02,2.80E-02
-0.00497648,0.055499496,6.12E-02,4.29E-02,2.80E-02
-0.00497632,0.053489446,6.12E-02,4.29E-02,2.80E-02
-0.00497616,0.053489446,6.12E-02,4.09E-02,2.80E-02
-0.004976,0.055499496,5.92E-02,4.09E-02,2.80E-02
-0.00497584,0.053489446,5.92E-02,4.09E-02,2.80E-02
-0.00497568,0.053489446,6.12E-02,4.09E-02,2.80E-02
-0.00497552,0.053489446,5.92E-02,4.29E-02,2.59E-02
-0.00497536,0.053489446,6.12E-02,4.09E-02,2.80E-02
-0.0049752,0.055499496,5.92E-02,4.29E-02,3.00E-02
-0.00497504,0.055499496,6.12E-02,4.09E-02,2.80E-02
-0.00497488,0.055499496,5.92E-02,4.09E-02,2.80E-02
-0.00497472,0.055499496,6.12E-02,4.09E-02,2.80E-02
-0.00497456,0.055499496,6.12E-02,4.09E-02,2.80E-02
-0.0049744,0.055499496,6.12E-02,4.09E-02,2.80E-02
-0.00497424,0.053489446,5.92E-02,4.09E-02,2.80E-02
-0.00497408,0.053489446,5.92E-02,4.09E-02,2.80E-02
-0.00497392,0.053489446,5.92E-02,4.29E-02,2.59E-02
-0.00497376,0.055499496,6.12E-02,4.09E-02,3.00E-02
-0.0049736,0.053489446,6.12E-02,4.09E-02,2.80E-02
-0.00497344,0.055499496,5.92E-02,4.09E-02,2.59E-02
-0.00497328,0.053489446,6.12E-02,4.09E-02,2.80E-02
-0.00497312,0.053489446,6.12E-02,4.29E-02,2.80E-02
